iter	Logloss
369	0.1182718058
370	0.1179801897
371	0.1179755858
372	0.1177917787
373	0.1174935746
374	0.1172482063
375	0.1169684838
376	0.1167541372
377	0.1167018167
378	0.1165092512
379	0.1162928877
380	0.1159245173
381	0.1157017631
382	0.1154198263
383	0.1151628823
384	0.1149042612
385	0.1147294647
386	0.1144722906
387	0.1144027381
388	0.1141106616
389	0.1139000641
390	0.1137413814
391	0.1135251495
392	0.1132078171
393	0.1130480711
394	0.1128527214
395	0.1125984302
396	0.112326907
397	0.1120244388
398	0.1117706299
399	0.1115184433
400	0.1114695209
401	0.1112274082
402	0.1109833772
403	0.1108032753
404	0.1105525576
405	0.1103390661
406	0.110062643
407	0.1098939961
408	0.109709663
409	0.1095796563
410	0.1092756425
411	0.1090134149
412	0.1087261616
413	0.1084030853
414	0.1082007748
415	0.1081557219
416	0.1078581536
417	0.1078550624
418	0.1076727681
419	0.1074697341
420	0.1071472387
421	0.1071357946
422	0.1068409996
423	0.1065889337
424	0.106353683
425	0.1061040067
426	0.1058980569
427	0.1055802532
428	0.1053330213
429	0.1051377483
430	0.1050481467
431	0.1048145513
432	0.1046568772
433	0.1044881097
434	0.10437733
435	0.1043729234
436	0.1041248804
437	0.1038509457
438	0.1035402232
439	0.1033150903
440	0.1031035062
441	0.102861536
442	0.1026424101
443	0.1024623082
444	0.1022607211
