iter	Logloss
0	0.6826951915
1	0.6731501612
2	0.6633464769
3	0.6523815462
4	0.6448533508
5	0.6354282861
6	0.6260388254
7	0.6187456504
8	0.6108122639
9	0.6015132597
10	0.5934771395
11	0.587233357
12	0.5800673386
13	0.572189638
14	0.564597952
15	0.5571019841
16	0.5496518365
17	0.5425640413
18	0.5350765798
19	0.5286741147
20	0.5211954665
21	0.5167515634
22	0.5101496817
23	0.503822239
24	0.4992107523
25	0.4933533943
26	0.4872657513
27	0.4817652648
28	0.4764004411
29	0.4709013577
30	0.4652075932
31	0.4604720631
32	0.4550464674
33	0.4513316538
34	0.4467980834
35	0.4418293745
36	0.4373918731
37	0.4327216313
38	0.4286113169
39	0.424224722
40	0.4193195036
41	0.4147912826
42	0.4111343033
43	0.4065395662
44	0.4029690096
45	0.3986347681
46	0.3940567367
47	0.3907601367
48	0.3864403209
49	0.3823480716
50	0.3785029444
51	0.3752596625
52	0.3717163787
53	0.3690708204
54	0.3658039707
55	0.3625075899
56	0.3595203531
57	0.3566158558
58	0.3538160214
59	0.3514788836
60	0.3495268109
61	0.3464715892
62	0.3434021391
63	0.3404904289
64	0.3389625988
65	0.3358681777
66	0.3342291076
67	0.3315242899
68	0.3297455886
69	0.3272127612
70	0.3253333432
71	0.3228412935
72	0.3215508735
73	0.3194462568
74	0.3171965939
75	0.3148379271
76	0.312738002
77	0.3108817572
78	0.3087952274
79	0.3070325742
80	0.3064911503
81	0.3046972779
82	0.3032417517
83	0.3012467308
84	0.2989833656
85	0.2967434149
86	0.2949047746
87	0.2929907832
88	0.2914051626
89	0.2893320939
90	0.2872712366
91	0.2851954932
92	0.2834261313
93	0.2819747486
94	0.2801096028
95	0.2783365798
96	0.2769803453
97	0.2757287299
98	0.2739140741
99	0.2723404018
100	0.2707857592
101	0.2692348217
102	0.2674265675
103	0.266195933
104	0.264565413
105	0.2631291137
106	0.2616266711
107	0.2603710657
108	0.2590022909
109	0.2576666865
110	0.2561792396
111	0.2549620442
112	0.2534414269
113	0.2521942402
114	0.2508380934
115	0.2494611411
116	0.2484294848
117	0.2471159354
118	0.2457907666
119	0.2445055644
120	0.2433102487
121	0.2421509754
122	0.2406558333
123	0.2397594013
124	0.2385400575
125	0.237390277
126	0.2359545916
127	0.2349403425
128	0.2336706841
129	0.2326169507
130	0.2320213318
131	0.2305476309
132	0.2293681441
133	0.228255809
134	0.2273713474
135	0.226286921
136	0.2254631218
137	0.2245845137
138	0.2235464776
139	0.2224330683
140	0.2212035957
141	0.2201043052
142	0.2190081059
143	0.2179899106
144	0.2177195056
145	0.2167261496
146	0.2158955322
147	0.214922324
148	0.2138486621
149	0.2128109987
150	0.2117107874
151	0.2109756908
152	0.2100458693
153	0.209322765
154	0.2083632371
155	0.2076950073
156	0.2066980121
157	0.2059772097
158	0.2053228356
159	0.204354341
160	0.2036000833
161	0.2026641451
162	0.2018517242
163	0.2008693081
164	0.2001755375
165	0.1994715723
166	0.1988948296
167	0.1980393728
168	0.1973417874
169	0.1965446472
170	0.195937343
171	0.1956166454
172	0.194958347
173	0.194279002
174	0.1934010297
175	0.1925501769
176	0.1919551279
177	0.1911769735
178	0.1906259471
179	0.1897419458
180	0.189263859
181	0.1886789168
182	0.1881438946
183	0.1880071136
184	0.187849856
185	0.1872041636
186	0.1865197324
187	0.1863793998
188	0.1858738866
189	0.1852387834
190	0.1845832693
191	0.1838471862
192	0.1832009787
193	0.1827776898
194	0.1821293228
195	0.1815318732
196	0.1809508444
197	0.1801266615
198	0.1795718423
199	0.1789110995
200	0.1779970849
201	0.177586698
202	0.1770805929
203	0.1763514267
204	0.1759285982
205	0.1756193227
206	0.1755329877
207	0.175059768
208	0.1749403723
209	0.1742179476
210	0.1735292522
211	0.1729872473
212	0.1723768738
213	0.1717292851
214	0.1711623532
215	0.1705415441
216	0.1698729745
217	0.1692778269
218	0.1686896511
219	0.1682641698
220	0.1678019447
221	0.1676236186
222	0.1670658506
223	0.1664193033
224	0.1660168966
225	0.1655666198
226	0.1653596834
227	0.1648802922
228	0.1643026177
229	0.1638848096
230	0.1634350261
231	0.1628852274
232	0.1623728741
233	0.1619866579
234	0.161660008
235	0.1610947971
236	0.1605243683
237	0.1601233976
238	0.1596575441
239	0.1592769623
240	0.1587974724
241	0.1583920512
242	0.1579850515
243	0.1574669104
244	0.1571206498
245	0.1570932235
246	0.1566357229
247	0.1565898808
248	0.1561284559
249	0.1556732572
250	0.1553777278
251	0.1548209026
252	0.1543912888
253	0.1540868365
254	0.153530066
255	0.1529878967
256	0.1525268993
257	0.152137866
258	0.1517835376
259	0.1514018925
260	0.1510146678
261	0.1507209142
262	0.1503326153
263	0.149942135
264	0.1495684043
265	0.1491522844
266	0.1486706569
267	0.1482019644
268	0.1477675383
269	0.147597302
270	0.1472752779
271	0.1470454972
272	0.146977589
273	0.1467075238
274	0.1463295071
275	0.1458449528
276	0.1452796432
277	0.1451931329
278	0.1447498716
279	0.1442887427
280	0.1441570589
281	0.1436399811
282	0.1431653582
283	0.1426998445
284	0.1425094166
285	0.1420079593
286	0.1416962941
287	0.141440545
288	0.1409718963
289	0.1406436789
290	0.1405032257
291	0.1402714828
292	0.1401651974
293	0.1398284298
294	0.1394050861
295	0.1390395877
296	0.1386754266
297	0.1386451721
298	0.1382889145
299	0.1379585266
300	0.1378882616
301	0.1374248088
302	0.1371734882
303	0.1368101602
304	0.1365317202
305	0.1365159572
306	0.136293784
307	0.136210606
308	0.1357399403
309	0.1354252607
310	0.1349687247
311	0.1346902738
312	0.1343682169
313	0.1339392059
314	0.1335961243
315	0.1332280389
316	0.1332049425
317	0.1330204668
318	0.1326690213
319	0.1322644332
320	0.1318328024
321	0.1314875723
322	0.1311941695
323	0.1309489765
324	0.1306874834
325	0.1303124154
326	0.1301190826
327	0.1300215447
328	0.1298219966
329	0.1294905345
330	0.1290433928
331	0.1287347202
332	0.1283961987
333	0.1283468488
334	0.1279938139
335	0.1277487305
336	0.1273590176
337	0.1271582307
338	0.1267793042
339	0.1267737904
340	0.1265937652
341	0.1262502122
342	0.1260992247
343	0.1258806031
344	0.1256481258
345	0.1252677523
346	0.1249797207
347	0.1246436875
348	0.1243515344
349	0.1240506227
350	0.1236725511
351	0.1233645034
352	0.122982343
353	0.1227377201
354	0.1224610778
355	0.1221480972
356	0.1218436011
357	0.1215809351
358	0.1214038038
359	0.1211265915
360	0.1207885413
361	0.1204576931
362	0.1201746491
363	0.1198592679
364	0.1194696646
365	0.11915755
366	0.1191008995
367	0.1187916789
368	0.1185264587
